page_name,visitors,unique_users,bounce_rate,bounce_rate_type,created_time
/argon/profile.html,4,193,20.1,1,2020-03-20 21:31:33.178026
/argon/,4,344,48.8,2,2019-09-17 06:42:20.223828
/argon/index.html,3,323,48.8,1,2019-09-27 20:49:08.973911
/argon/charts.html,2,298,23.8,2,2020-02-09 19:03:44.854672
/argon/tables.html,2,151,23.8,1,2020-02-10 13:00:41.331191
/argon/profile.html,5,194,23.8,2,2020-02-28 15:48:57.588513
/argon/,5,342,23.8,1,2020-05-15 15:30:45.557370
/argon/index.html,2,321,23.8,2,2020-06-09 18:41:03.417845
/argon/charts.html,1,296,23.8,1,2020-06-23 13:39:46.979892
/argon/tables.html,1,149,23.8,2,2020-07-16 10:02:29.300810
/argon/profile.html,10,192,23.75,1,2020-07-27 20:38:39.499081
/argon/,1,343,23.8,2,2020-08-14 22:21:00.116783
/argon/index.html,1,322,23.8,1,2020-08-21 11:17:43.031605
/argon/charts.html,10,297,9.65,2,2020-04-03 15:03:38.723364
/argon/tables.html,2,150,9.7,1,2020-04-29 10:50:46.908509
/argon/profile.html,10,193,9.65,2,2020-05-31 03:03:07.876672
/argon/,1,344,9.7,1,2020-06-01 14:52:03.027874
/argon/index.html,3,323,9.7,2,2020-06-09 18:40:53.694027
/argon/charts.html,10,298,9.65,1,2020-06-11 12:58:11.006617
/argon/tables.html,2,151,9.7,2,2020-06-23 13:39:36.659122
/argon/profile.html,10,194,9.65,1,2020-07-06 22:26:40.320114
/argon/,5,345,9.7,2,2020-07-17 18:25:04.218637
/argon/index.html,10,324,9.65,1,2020-07-27 20:38:29.924527
/argon/charts.html,1,299,9.7,2,2020-08-12 00:58:58.238698
/argon/tables.html,1,152,9.7,1,2020-08-14 00:16:40.232759
/argon/profile.html,1,195,9.7,2,2020-08-18 16:34:53.131714
/argon/,1,343,9.7,1,2020-08-25 19:19:35.569269
/argon/index.html,1,322,9.7,2,2020-09-02 03:54:27.257385
/argon/charts.html,1,297,9.7,1,2020-09-06 13:20:38.824938
/argon/tables.html,1,150,9.7,2,2020-09-07 08:33:17.310033
/argon/profile.html,5,193,9.7,1,2020-09-15 11:20:58.632230
/argon/,1,344,9.7,2,2020-10-15 23:51:48.839854
/argon/index.html,5,323,54.75,1,2019-07-04 15:59:26.549947
/argon/charts.html,3,298,54.75,2,2019-07-08 19:39:12.314400
/argon/tables.html,4,151,54.75,1,2019-07-17 10:19:09.138752
/argon/profile.html,20,194,54.6,2,2019-09-04 15:48:43.295156
/argon/,100,345,54.5,1,2019-09-05 06:36:37.863184
/argon/index.html,5,324,54.75,2,2019-09-06 08:54:58.388242
/argon/charts.html,10,299,54.6,1,2019-09-17 07:23:30.265112
/argon/tables.html,50,152,53,2,2019-10-28 19:14:26.730607
/argon/profile.html,1,195,53.1,1,2019-11-02 13:07:59.128090
/argon/,120,346,53,2,2019-11-04 05:16:19.572234
/argon/index.html,1,325,53.1,1,2019-11-04 19:05:34.005410
/argon/charts.html,10,300,53,2,2019-11-07 10:15:29.655621
/argon/tables.html,11,153,53,1,2019-11-08 16:31:49.733525
/argon/profile.html,2,196,53.1,2,2019-11-08 16:37:53.080557
/argon/,2,344,53.1,1,2019-11-24 19:57:16.243716
/argon/index.html,3,323,53.1,2,2019-11-25 09:54:57.166746
/argon/charts.html,4,298,53.1,1,2019-11-25 17:31:59.492932
/argon/tables.html,1,151,53.1,2,2019-11-26 12:26:01.260432
/argon/profile.html,55,194,53,1,2019-11-26 12:26:51.960033
/argon/,48,345,53,2,2019-11-26 16:05:36.714002
/argon/index.html,52,324,53,1,2019-11-26 16:12:17.742571
/argon/charts.html,1,299,53.1,2,2019-11-28 08:45:11.783284
/argon/tables.html,2,152,53.1,1,2019-11-28 16:00:56.435589
/argon/profile.html,50,195,53,2,2019-12-05 09:44:29.941517
/argon/,50,346,53,1,2019-12-05 14:37:44.799608
/argon/index.html,30,325,53,2,2019-12-19 18:28:49.622602
/argon/charts.html,2,300,53.1,1,2019-12-22 16:49:57.194265
/argon/tables.html,10,153,53,2,2019-12-24 18:12:40.707294
/argon/profile.html,50,196,53,1,2019-12-30 18:47:59.324280
/argon/,10,347,53,2,2020-01-02 17:20:03.723888
/argon/index.html,10,326,53,1,2020-01-05 20:15:58.713821
/argon/charts.html,1,301,53.1,2,2020-01-06 13:40:34.377152
/argon/tables.html,51,154,53.8,1,2020-01-06 22:04:36.211331
/argon/profile.html,3,197,54,2,2020-01-07 12:37:15.836852
/argon/,50,345,53.8,1,2020-01-08 21:34:23.194536
/argon/index.html,5,324,54,2,2020-01-10 07:50:48.060463
/argon/charts.html,10,299,53.95,1,2020-01-17 22:36:49.584578
/argon/tables.html,10,152,53.95,2,2020-01-18 04:34:42.586600
/argon/profile.html,5,195,54,1,2020-01-19 02:58:10.621887
/argon/,30,346,53.95,2,2020-01-29 21:33:54.008479
/argon/index.html,1,325,54,1,2020-02-01 17:52:53.414537
/argon/charts.html,10,300,53.95,2,2020-02-05 11:35:56.638108
/argon/tables.html,50,153,53.8,1,2020-02-08 19:30:49.718996
/argon/profile.html,10,196,53.95,2,2020-02-10 16:48:32.098103
/argon/,3,347,54,1,2020-02-16 20:46:10.763895
/argon/index.html,50,326,53.8,2,2020-02-18 19:40:11.263621
/argon/charts.html,2,301,54,1,2020-02-19 07:56:04.631462
/argon/tables.html,50,154,53.8,2,2020-02-19 09:39:51.745017
/argon/profile.html,1,197,54,1,2020-02-20 12:53:02.067139
/argon/,5,348,54,2,2020-02-22 09:10:01.346804
/argon/index.html,2,327,54,1,2020-02-22 16:25:32.443610
/argon/charts.html,1,302,54,2,2020-02-22 17:55:20.190186
/argon/tables.html,1,155,54,1,2020-02-24 08:34:59.319648
/argon/profile.html,1,198,54,2,2020-02-24 15:31:08.578694
/argon/,5,346,54,1,2020-02-26 09:56:16.482363
/argon/index.html,1,325,54,2,2020-02-29 10:13:05.412001
/argon/charts.html,5,300,54,1,2020-02-29 19:12:16.619231
/argon/tables.html,50,153,53.8,2,2020-03-01 11:00:23.930660
/argon/profile.html,20,196,53.95,1,2020-03-03 18:38:32.098417
/argon/,50,347,53.8,2,2020-03-10 18:21:36.112498
/argon/index.html,50,326,53.8,1,2020-03-22 14:38:42.016179
/argon/charts.html,5,301,54,2,2020-03-22 16:13:49.818674
/argon/tables.html,1,154,54,1,2020-03-28 18:12:38.020912
/argon/profile.html,4,197,54,2,2020-03-29 10:53:00.483183
/argon/,50,348,53.8,1,2020-03-29 20:03:38.362307
/argon/index.html,15,327,53.95,2,2020-03-30 16:27:27.860857
/argon/charts.html,50,302,53.8,1,2020-04-02 18:28:49.639357
/argon/tables.html,100,155,53.8,2,2020-04-05 22:06:24.059282
/argon/profile.html,1,198,54,1,2020-04-12 04:41:56.028272
/argon/,2,349,54,2,2020-04-15 17:51:39.293689
/argon/index.html,100,328,53.8,1,2020-04-17 17:14:39.906868
/argon/charts.html,2,303,54,2,2020-04-20 19:50:31.356939
/argon/tables.html,10,156,53.95,1,2020-04-23 16:35:04.517140
/argon/profile.html,100,199,53.8,2,2020-04-24 19:25:51.968631
/argon/,3,347,54,1,2020-04-27 04:45:26.911649
/argon/index.html,10,326,53.95,2,2020-04-28 00:01:53.196066
/argon/charts.html,100,301,53.8,1,2020-05-02 19:18:08.236826
/argon/tables.html,2,154,54,2,2020-05-07 16:21:29.007480
/argon/profile.html,50,197,53.8,1,2020-05-10 08:15:02.027957
/argon/,10,348,53.95,2,2020-05-10 22:57:53.475769
/argon/index.html,1,327,54,1,2020-05-19 12:20:19.366311
/argon/charts.html,1,302,54,2,2020-05-19 12:20:37.155700
/argon/tables.html,100,155,53.8,1,2020-05-21 22:43:05.189896
/argon/profile.html,50,198,53.8,2,2020-05-25 18:10:33.383683
/argon/,15,349,53.95,1,2020-05-25 20:11:52.486574
/argon/index.html,4,328,54,2,2020-05-25 22:49:55.787145
/argon/charts.html,5,303,54,1,2020-05-26 11:49:48.255740
/argon/tables.html,1,156,54,2,2020-05-28 09:06:03.137133
/argon/profile.html,5,199,54,1,2020-05-30 11:24:02.798580
/argon/,2,350,54,2,2020-06-02 08:59:23.991873
/argon/index.html,1,329,54,1,2020-06-02 12:37:41.015408
/argon/charts.html,2,304,54,2,2020-06-03 08:20:29.393442
/argon/tables.html,100,157,53.8,1,2020-06-05 20:40:26.910887
/argon/profile.html,1,200,54,2,2020-06-07 15:44:28.322542
/argon/,1,348,54,1,2020-06-08 09:33:20.563068
/argon/index.html,1,327,54,2,2020-06-10 15:26:31.750600
/argon/charts.html,15,302,53.95,1,2020-06-10 18:03:39.612180
/argon/tables.html,50,155,53.8,2,2020-06-11 19:00:27.485555
/argon/profile.html,5,198,54,1,2020-06-14 23:06:28.512087
/argon/,1,349,54,2,2020-06-15 11:02:40.792582
/argon/index.html,100,328,53.8,1,2020-06-15 19:59:31.175692
/argon/charts.html,2,303,54,2,2020-06-17 14:13:20.400243
/argon/tables.html,1,156,54,1,2020-06-18 09:20:00.472221
/argon/profile.html,4,199,54,2,2020-06-19 11:21:33.230783
/argon/,1,350,51.5,1,2020-06-23 10:57:55.304461
/argon/index.html,1,329,51.5,2,2020-06-23 13:13:39.869695
/argon/charts.html,100,304,51.4,1,2020-06-24 19:27:32.707346
/argon/tables.html,5,157,51.5,2,2020-06-25 11:02:40.512747
/argon/profile.html,1,200,51.5,1,2020-06-25 13:19:12.500684
/argon/,1,351,51.5,2,2020-06-30 04:29:24.282393
/argon/index.html,10,330,51.45,1,2020-06-30 11:28:05.726290
/argon/charts.html,2,305,51.5,2,2020-07-02 08:30:50.869188
/argon/tables.html,2,158,51.5,1,2020-07-06 10:54:12.009438
/argon/profile.html,50,201,51.4,2,2020-07-06 22:26:03.297266
/argon/,50,349,51.4,1,2020-07-14 08:50:10.469694
/argon/index.html,4,328,51.5,2,2020-07-17 11:20:55.615423
/argon/charts.html,10,303,51.45,1,2020-07-21 11:39:28.659184
/argon/tables.html,100,156,51.4,2,2020-07-23 23:13:38.123350
/argon/profile.html,1,199,51.5,1,2020-07-24 12:56:11.886740
/argon/,2,350,51.5,2,2020-07-27 16:16:33.481032
/argon/index.html,1,329,51.5,1,2020-07-28 06:37:41.945255
/argon/charts.html,1,304,51.5,2,2020-07-28 14:39:11.222673
/argon/tables.html,1,157,51.5,1,2020-07-28 14:47:13.359377
/argon/profile.html,1,200,51.5,2,2020-07-29 14:39:08.222501
/argon/,1,351,51.5,1,2020-07-29 17:38:39.152129
/argon/index.html,2,330,51.5,2,2020-07-31 13:31:27.990910
/argon/charts.html,2,305,51.5,1,2020-08-04 07:30:29.938806
/argon/tables.html,1,158,51.5,2,2020-08-04 16:48:54.914377
/argon/profile.html,1,201,51.5,1,2020-08-05 13:04:05.692639
/argon/,2,352,51.5,2,2020-08-05 14:14:01.082540
/argon/index.html,3,331,51.5,1,2020-08-05 15:38:03.827279
/argon/charts.html,1,306,51.5,2,2020-08-06 14:00:32.325823
/argon/tables.html,3,159,51.5,1,2020-08-06 20:52:56.651375
/argon/profile.html,100,202,51.4,2,2020-08-07 22:08:06.819310
/argon/,40,350,51.45,1,2020-08-08 05:21:03.479874
/argon/index.html,30,329,51.45,2,2020-08-08 05:39:42.306255
/argon/charts.html,4,304,51.5,1,2020-08-08 10:01:04.941286
/argon/tables.html,1,157,51.5,2,2020-08-08 15:30:09.703694
/argon/profile.html,5,200,51.5,1,2020-08-09 12:01:37.402312
/argon/,2,351,51.5,2,2020-08-09 15:36:17.634468
/argon/index.html,3,330,51.5,1,2020-08-10 17:25:38.701910
/argon/charts.html,12,305,51.45,2,2020-08-11 03:27:41.984954
/argon/tables.html,4,158,55.5,1,2020-08-11 19:29:26.012900
/argon/profile.html,100,201,55.4,2,2020-08-12 21:27:34.144390
/argon/,1,352,55.5,1,2020-08-16 09:53:22.381939
/argon/index.html,1,331,55.5,2,2020-08-18 19:37:19.386431
/argon/charts.html,5,306,55.5,1,2020-08-21 09:28:20.831075
/argon/tables.html,1,159,55.5,2,2020-08-22 10:39:42.889914
/argon/profile.html,4,202,55.5,1,2020-08-22 16:15:07.418875
/argon/,2,353,55.5,2,2020-08-25 10:59:34.212806
/argon/index.html,1,332,55.5,1,2020-08-25 11:27:03.076948
/argon/charts.html,1,307,55.5,2,2020-08-25 12:27:59.363345
/argon/tables.html,100,160,55.4,1,2020-08-25 16:59:42.151905
/argon/profile.html,1,203,56,2,2020-08-27 07:15:25.526952
/argon/,1,351,56,1,2020-08-27 07:35:34.387265
/argon/index.html,3,330,56,2,2020-08-27 18:09:33.629932
/argon/charts.html,1,305,56,1,2020-08-28 15:39:29.037427
/argon/tables.html,1,158,56,2,2020-08-28 17:35:33.708780
/argon/profile.html,2,201,56,1,2020-08-29 10:03:26.120412
/argon/,1,352,56,2,2020-08-29 13:37:10.074617
/argon/index.html,1,331,56,1,2020-08-29 13:40:40.030971
/argon/charts.html,1,306,56,2,2020-08-30 10:20:45.909456
/argon/tables.html,4,159,56,1,2020-08-31 14:27:04.309648
/argon/profile.html,85,202,56,2,2020-08-31 20:16:18.783080
/argon/,10,353,58.25,1,2020-10-09 03:30:04.841670
/argon/index.html,4,332,58.35,2,2020-10-09 12:59:08.810787
/argon/charts.html,20,307,58.25,1,2020-10-09 19:51:51.953420
/argon/tables.html,3,160,58.35,2,2020-10-09 22:45:57.034328
/argon/profile.html,16,203,58.25,1,2020-10-10 04:22:02.027979
/argon/,1,354,58.35,2,2020-10-10 13:03:22.133212
/argon/index.html,3,333,58.35,1,2020-10-11 10:33:56.650170
/argon/charts.html,3,308,58.35,2,2020-10-12 09:28:00.160397
/argon/tables.html,10,161,58.25,1,2020-10-12 10:10:03.646875
/argon/profile.html,2,204,58.35,2,2020-10-12 21:52:31.334502
/argon/,2,352,58.35,1,2020-10-13 08:38:19.146468
/argon/index.html,2,331,58.35,2,2020-10-14 21:48:51.329107
/argon/charts.html,20,306,58.25,1,2020-10-15 03:40:51.187328
/argon/tables.html,10,159,58.25,2,2020-10-15 08:44:15.967055
/argon/profile.html,10,202,58.25,1,2020-10-19 16:15:31.392700
/argon/,20,353,58.25,2,2020-10-21 02:20:46.993632
/argon/index.html,2,332,58.35,1,2020-10-21 22:19:04.061487
/argon/charts.html,4,307,58.35,2,2020-10-24 03:06:52.404917
/argon/tables.html,1,160,58.35,1,2020-10-25 12:34:50.090319
/argon/profile.html,100,203,58,2,2020-10-26 20:20:32.692665
/argon/,3,354,58.35,1,2020-10-27 16:03:23.611093
/argon/index.html,20,333,58.25,2,2020-10-28 02:26:05.362746
/argon/charts.html,1,308,58.35,1,2020-10-28 12:37:57.163179
/argon/tables.html,4,161,58.35,2,2020-10-28 18:17:49.826404
/argon/profile.html,3,204,58.35,1,2020-10-28 23:51:14.359678
/argon/,1,355,58.35,2,2020-10-29 05:33:00.966323
/argon/index.html,2,334,58.35,1,2020-10-30 09:14:57.915131
/argon/charts.html,3,309,58.35,2,2020-10-30 14:59:47.131956
/argon/tables.html,2,162,58.35,1,2020-10-31 09:10:39.600560
/argon/profile.html,1,205,58.35,2,2020-10-31 10:20:59.844961
/argon/,20,353,58.25,1,2020-11-01 08:56:41.904906
/argon/index.html,3,332,58.35,2,2020-11-01 16:32:56.331688
/argon/charts.html,2,307,58.35,1,2020-11-02 09:32:55.793232
/argon/tables.html,2,160,58.35,2,2020-11-02 14:24:33.831110
/argon/profile.html,50,203,58,1,2020-11-03 02:23:52.781980
/argon/,10,354,58.25,2,2020-11-03 09:08:59.108264
/argon/index.html,7,333,30.75,1,2019-07-04 15:59:38.411922
/argon/charts.html,3,308,30.75,2,2019-07-08 19:39:33.041926
/argon/tables.html,1,161,27,1,2019-11-01 13:58:22.333024
/argon/profile.html,30,204,26.95,2,2019-11-04 19:25:47.931394
/argon/,15,355,26.95,1,2019-11-08 15:00:55.689993
/argon/index.html,1,334,27,2,2019-11-21 09:26:45.055541
/argon/charts.html,20,309,26.95,1,2019-11-26 22:20:38.706614
/argon/tables.html,30,162,26.95,2,2019-11-27 15:35:37.242426
/argon/profile.html,30,205,26.95,1,2019-12-03 20:06:21.368458
/argon/,20,356,26.95,2,2019-12-11 19:04:28.497482
/argon/index.html,10,335,26.95,1,2019-12-20 19:40:03.374551
/argon/charts.html,10,310,26.95,2,2019-12-23 18:28:20.142836
/argon/tables.html,1,163,27,1,2019-12-24 09:51:17.106064
/argon/profile.html,1,206,27,2,2019-12-26 09:13:00.541973
/argon/,1,354,27,1,2019-12-31 12:26:16.254797
/argon/index.html,1,333,27,2,2020-01-01 09:25:52.693063
/argon/charts.html,1,308,27.45,1,2020-01-07 08:11:50.646552
/argon/tables.html,3,161,27.45,2,2020-01-07 20:21:17.500657
/argon/profile.html,1,204,27.45,1,2020-01-08 10:28:26.939795
/argon/,1,355,27.45,2,2020-01-08 12:46:09.883247
/argon/index.html,2,334,27.45,1,2020-01-15 18:57:54.598991
/argon/charts.html,10,309,27.39,2,2020-01-19 02:56:51.314275
/argon/tables.html,20,162,27.39,1,2020-01-21 19:38:54.078763
/argon/profile.html,20,205,27.39,2,2020-01-23 20:03:36.291402
/argon/,10,356,27.39,1,2020-01-29 21:14:34.676800
/argon/index.html,20,335,27.39,2,2020-02-05 18:45:45.846655
/argon/charts.html,50,310,27.35,1,2020-02-08 19:52:19.168962
/argon/tables.html,1,163,27.45,2,2020-02-13 21:28:26.556087
/argon/profile.html,2,206,27.45,1,2020-02-16 20:46:32.922914
/argon/,6,357,27.39,2,2020-02-19 21:41:00.366983
/argon/index.html,1,336,27.45,1,2020-02-23 12:25:11.201333
/argon/charts.html,20,311,27.39,2,2020-03-03 18:37:45.844057
/argon/tables.html,2,164,27.45,1,2020-03-08 09:51:40.663880
/argon/profile.html,30,207,27.39,2,2020-03-10 18:23:02.091143
/argon/,6,355,27.39,1,2020-03-10 20:26:01.339702
/argon/index.html,1,334,27.45,2,2020-03-15 17:04:17.710689
/argon/charts.html,4,309,27.45,1,2020-03-21 16:19:01.131750
/argon/tables.html,10,162,27.39,2,2020-03-22 09:54:06.758498
/argon/profile.html,1,205,27.45,1,2020-03-25 12:43:23.042186
/argon/,50,356,27.35,2,2020-03-29 20:04:02.216630
/argon/index.html,1,335,27.45,1,2020-03-31 16:06:59.760572
/argon/charts.html,10,310,27.39,2,2020-04-02 15:07:31.090961
/argon/tables.html,1,163,27.45,1,2020-04-03 08:39:22.967672
/argon/profile.html,23,206,27.39,2,2020-04-03 19:16:19.567043
/argon/,5,357,27.45,1,2020-04-05 15:22:27.349699
/argon/index.html,100,336,27.35,2,2020-04-05 22:07:06.494720
/argon/charts.html,1,311,27.45,1,2020-04-07 22:58:22.238891
/argon/tables.html,1,164,27.45,2,2020-04-08 17:54:17.533018
/argon/profile.html,1,207,27.45,1,2020-04-11 16:40:22.980619
/argon/,10,358,27.39,2,2020-04-12 15:18:41.454432
/argon/index.html,100,337,27.35,1,2020-04-20 19:45:42.134737
/argon/charts.html,6,312,27.39,2,2020-04-27 04:44:58.010753
/argon/tables.html,6,165,27.39,1,2020-05-02 18:12:53.331674
/argon/profile.html,100,208,27.35,2,2020-05-02 19:18:30.449019
/argon/,5,356,27.45,1,2020-05-04 15:29:40.486475
/argon/index.html,5,335,27.45,2,2020-05-05 22:31:41.505526
/argon/charts.html,6,310,27.39,1,2020-05-07 16:17:14.412012
/argon/tables.html,20,163,27.39,2,2020-05-10 22:58:10.637993
/argon/profile.html,6,206,27.39,1,2020-05-15 17:04:43.981621
/argon/,100,357,27.35,2,2020-05-21 22:44:17.155152
/argon/index.html,10,336,27.39,1,2020-05-23 16:56:24.021857
/argon/charts.html,6,311,27.39,2,2020-05-24 19:00:43.357949
/argon/tables.html,6,164,27.39,1,2020-05-29 23:33:51.813301
/argon/profile.html,6,207,27.39,2,2020-05-30 11:22:59.362810
/argon/,75,358,27.35,1,2020-06-05 20:39:18.800338
/argon/index.html,6,337,27.39,2,2020-06-09 19:07:28.283743
/argon/charts.html,1,312,27.45,1,2020-06-11 15:10:20.115193
/argon/tables.html,1,165,27.45,2,2020-06-12 15:34:20.862823
/argon/profile.html,50,208,27.35,1,2020-06-15 20:02:07.146512
/argon/,5,359,27.45,2,2020-06-20 19:14:10.139496
/argon/index.html,100,338,26.15,1,2020-06-24 19:33:17.731103
/argon/charts.html,6,313,26.2,2,2020-06-27 11:28:45.101711
/argon/tables.html,50,166,26.15,1,2020-07-06 22:28:57.373067
/argon/profile.html,6,209,26.2,2,2020-07-07 07:43:28.495776
/argon/,6,357,26.2,1,2020-07-16 20:58:27.762453
/argon/index.html,1,336,26.25,2,2020-07-17 07:09:16.556649
/argon/charts.html,5,311,26.25,1,2020-07-19 22:49:37.585545
/argon/tables.html,50,164,26.15,2,2020-07-23 23:11:34.598201
/argon/profile.html,1,207,26.25,1,2020-07-25 15:00:47.519187
/argon/,1,358,26.25,2,2020-07-27 13:10:45.017260
/argon/index.html,1,337,26.25,1,2020-08-02 12:41:09.956322
/argon/charts.html,1,312,26.25,2,2020-08-02 17:11:17.385255
/argon/tables.html,1,165,26.25,1,2020-08-03 20:06:05.650254
/argon/profile.html,1,208,26.25,2,2020-08-04 12:01:00.662891
/argon/,100,359,26.15,1,2020-08-07 22:09:57.281144
/argon/index.html,20,338,26.2,2,2020-08-09 12:00:03.810970
/argon/charts.html,1,313,28.95,1,2020-08-14 12:41:40.356306
/argon/tables.html,1,166,28.95,2,2020-08-19 11:10:45.099499
/argon/profile.html,10,209,28.9,1,2020-08-20 16:10:55.423212
/argon/,100,360,28.9,2,2020-08-25 16:59:02.958930
/argon/index.html,6,339,28.9,1,2020-08-27 19:39:07.154657
/argon/charts.html,1,314,28.95,2,2020-08-28 15:21:50.424241
/argon/tables.html,1,167,28.95,1,2020-08-29 10:03:34.722849
/argon/profile.html,3,210,28.95,2,2020-08-30 12:40:15.463720
/argon/,1,358,28.95,1,2020-08-30 12:58:36.792416
/argon/index.html,55,337,28.9,2,2020-08-31 20:16:40.970699
/argon/charts.html,1,312,31.99,1,2020-09-04 11:34:47.562959
/argon/tables.html,20,165,31.95,2,2020-09-04 20:39:23.784372
/argon/profile.html,2,208,31.99,1,2020-09-05 08:36:50.397456
/argon/,10,359,31.95,2,2020-09-13 18:12:14.704373
/argon/index.html,1,338,31.99,1,2020-09-14 13:29:11.385670
/argon/charts.html,1,313,31.99,2,2020-09-14 14:03:57.068939
/argon/tables.html,50,166,31.9,1,2020-09-19 01:56:45.548009
/argon/profile.html,8,209,31.95,2,2020-09-19 11:22:46.304197
/argon/,5,360,31.99,1,2020-09-22 16:04:42.202456
/argon/index.html,5,339,31.99,2,2020-09-25 15:13:36.454498
/argon/charts.html,100,314,31.9,1,2020-09-25 16:21:54.858957
/argon/tables.html,5,167,31.99,2,2020-09-29 18:50:59.905698
/argon/profile.html,5,210,31.99,1,2020-10-01 08:21:21.365717
/argon/,20,361,31.95,2,2020-10-05 22:05:29.753372
/argon/index.html,1,340,31.99,1,2020-10-08 07:45:33.653268
/argon/charts.html,5,315,31.99,2,2020-10-09 22:45:18.744645
/argon/tables.html,6,168,31.95,1,2020-10-10 05:39:06.637242
/argon/profile.html,10,211,31.95,2,2020-10-11 23:41:31.330507
/argon/,20,359,31.95,1,2020-10-15 17:59:28.345626
/argon/index.html,10,338,31.95,2,2020-10-19 16:14:20.469372
/argon/charts.html,100,313,31.9,1,2020-10-26 20:21:45.359234
/argon/tables.html,1,166,31.99,2,2020-10-28 13:32:00.265050
/argon/profile.html,10,209,24.35,1,2019-07-02 00:35:40.354160
/argon/,20,360,24.35,2,2019-07-03 15:19:54.955582
/argon/index.html,9,339,24.4,1,2019-07-03 20:13:42.361416
/argon/charts.html,15,314,24.35,2,2019-07-03 21:58:44.547460
/argon/tables.html,25,167,24.35,1,2019-07-04 00:42:03.069263
/argon/profile.html,10,210,24.35,2,2019-07-04 20:31:17.086934
/argon/,3,361,24.4,1,2019-07-04 21:07:55.196748
/argon/index.html,10,340,24.35,2,2019-07-06 02:21:28.534978
/argon/charts.html,10,315,24.35,1,2019-07-08 12:31:08.051526
/argon/tables.html,20,168,24.35,2,2019-07-08 16:18:30.946703
/argon/profile.html,3,211,24.4,1,2019-07-08 16:26:43.440572
/argon/,15,362,24.35,2,2019-07-09 03:39:10.654374
/argon/index.html,50,341,24.3,1,2019-07-09 19:26:40.159214
/argon/charts.html,10,316,24.35,2,2019-07-10 11:23:19.133034
/argon/tables.html,16,169,24.35,1,2019-07-12 14:06:53.555512
/argon/profile.html,4,212,24.4,2,2019-07-13 21:14:00.583771
/argon/,16,360,24.35,1,2019-07-14 21:06:07.480820
/argon/index.html,20,339,24.35,2,2019-07-16 21:14:27.362131
/argon/charts.html,10,314,24.35,1,2019-07-16 22:36:43.105862
/argon/tables.html,3,167,24.4,2,2019-07-17 16:06:44.606965
/argon/profile.html,4,210,24.4,1,2019-07-17 19:41:23.090600
/argon/,3,361,24.4,2,2019-07-17 19:59:42.564889
/argon/index.html,20,340,24.35,1,2019-07-17 22:50:31.093343
/argon/charts.html,25,315,24.35,2,2019-07-18 22:16:56.954411
/argon/tables.html,11,168,24.35,1,2019-07-19 21:57:38.753039
/argon/profile.html,20,211,24.35,2,2019-07-19 22:09:02.412663
/argon/,12,362,24.35,1,2019-07-19 23:03:28.137159
/argon/index.html,25,341,24.35,2,2019-07-20 10:50:33.638397
/argon/charts.html,10,316,24.35,1,2019-07-22 03:19:44.461015
/argon/tables.html,10,169,24.35,2,2019-07-23 10:51:16.907759
